id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
18892,-26619,7163,-26870,-12545,4608,-4097,-7183,30967,-13554,17,1,33492,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-22096.81955877656,-3249.913497345586,-31353.552552249013
18893,-12545,-20747,6412,-11777,-3073,-15361,-7695,30455,-15346,17,1,33517,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,4543.253098399873,23898.555662633855,-6094.806520626502
18894,-20223,-19724,-28916,-11521,7168,-5633,-8207,31223,-17650,17,1,33543,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,1665.9068764275435,35580.058021079065,-19116.09757496856
18895,-7423,21237,18444,-13313,18432,27648,-9743,-30473,-18418,17,1,33569,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,13398.436091147549,-25357.468456124938,4875.749973907981
18896,20222,13559,-29939,-29953,-27904,-8448,-13071,-21513,-16114,17,1,33594,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-21546.229701078457,31897.537666340882,2725.172011585635
18897,30452,24571,-15857,-19457,-25856,-24062,-17935,-3593,-7666,17,1,33620,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-5898.578029528998,-39976.44115842839,12230.851300554266
18898,8949,29440,29200,-257,-9475,5383,-28431,-30728,-29937,17,1,33645,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,41232.59375548607,-6356.032260037129,-7675.432698188293
18899,-21510,4864,31508,-30208,13054,-3061,13809,21497,-3312,17,1,33671,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,20068.52824632085,-30674.281537388877,11637.666698768526
18900,-29701,5112,29464,-767,-30982,-11504,-11024,18938,15379,17,1,33697,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-37974.368663731555,16760.596536441466,-7310.196258215612
18901,29178,3050,-14047,-506,30201,5144,-6672,-19717,25110,17,1,33722,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,10245.96604062782,27425.332375157705,14172.075254048994
18902,-26104,-8473,4135,-20977,-21510,20758,14578,14077,-7655,17,1,33748,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,1041.9287173493608,-2055.674176631984,27658.585615094114
18903,-25584,-7450,8993,29720,16891,-6130,9973,-771,-27620,17,1,33773,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,25496.127567171134,-11784.605513707898,-1410.0202001466478
18904,3860,31453,-3563,16925,-5640,-9719,5369,-15875,-25314,17,1,33799,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-24871.435702152383,-19322.815974296464,4992.6192461646
18905,-9963,13018,27145,-8165,3061,-23550,11773,30716,-13281,17,1,33824,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-25978.162829316178,15567.585731879437,-9400.32172290497
18906,-17129,-5661,5887,18707,-25616,23546,-28416,14074,-30177,17,1,33850,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,648.4213058020187,-469.6883428750589,18959.56944845397
18907,784,-8728,9216,-31733,30957,-19468,4611,-31241,-8163,17,1,33876,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-2449.307788335329,-12339.348714308264,1862.4340698931924
18908,-30969,-1296,16131,23558,-5397,-16655,24325,-5644,8731,17,1,33901,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-27718.112643819473,-19005.812574610143,-9563.10921423185
18909,25862,-26378,9736,1795,-10261,6383,-8953,-26894,27159,17,-1,33927,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,-7118.589119749162,1028.3382041027035,-37519.32613310335
18910,-20216,-7434,3854,-12797,28654,-14870,5643,10737,-19694,17,-1,33952,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,6553.781253639385,8443.366684131326,19093.502515692246
18911,10249,3574,-16117,29701,10479,-18972,23311,4593,-4596,17,-1,33978,2020-11-02 14:36:35,2020-11-02 14:37:04,4,D7:F2:3B:06:4D:C8,17,17,10249.0,-14533.508117844427,7829.962119228299
