id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
20010,23295,29193,18677,-7937,-27391,32760,-31433,-25091,17932,18,1,32563,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-8510.12627748755,10939.30269543836,-39390.70969503838
20011,28670,5131,22517,11266,-26111,2811,-26313,510,10765,18,1,32589,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,32652.07195457929,13105.633385666926,-10834.93980756097
20012,-7425,10251,-2830,16644,32002,-13315,4920,4606,-16883,18,1,32615,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,12411.098183752596,2485.6121727359296,-2830.0
20013,-1277,-32502,17648,-23548,-15614,-23810,-16840,-8707,12302,18,1,32640,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-18826.08495042969,-29927.837421002663,10925.461534472479
20014,24069,19465,31726,22019,29185,-14851,20281,-13827,-26098,18,1,32665,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,7483.916850091928,27665.733739305735,33813.31434874065
20015,5373,-14072,-13585,-15359,25600,8445,-23239,-6147,527,18,1,32691,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,4392.427842033493,19479.23493155095,3564.9014199517733
20016,-2055,-15095,26608,-8703,-23553,16893,-7367,10750,23311,18,1,32717,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-3395.623517878452,-25707.912495105476,16359.727689323881
20017,1,-17397,27884,4611,-23551,-18434,17722,17406,-22769,18,1,32742,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,6075.787043849259,-12556.14975336064,29759.0487275547
20018,15608,-6648,-19988,25347,-254,25855,-15558,1022,-2801,18,1,32768,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,15608.0,-15408.492798026324,14362.952262441415
20019,13825,23049,5354,7170,-8958,-28417,10299,-20483,16912,18,1,32793,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-222.72590658667832,-18612.82466019453,-20113.813495689712
20020,-1790,2571,9963,10752,12801,23040,19003,30205,26384,18,1,32819,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-8613.27249713201,-3927.6705036063377,-4411.4001524742725
20021,-23294,10251,-2836,-22018,29951,24577,12603,27645,16656,18,-1,32845,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-1494.795434902373,7320.414560473356,-24493.130675162876
20022,-4350,-23286,-16146,-11779,16127,5889,-3526,29181,1040,18,-1,32870,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,14248.860831945998,-23286.0,-8751.330241273903
20023,-5631,4874,10225,-30979,-23041,6656,-26310,31741,-6897,18,-1,32896,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-8503.734235068634,-6974.834014875896,-6249.228474319996
20024,-7425,30473,-23822,9470,-22016,13311,17978,31741,-2289,18,-1,32921,2020-11-02 15:17:10,2020-11-02 15:17:39,2,DF:DC:EF:28:D6:3E,18,18,-28844.78946344184,-26806.280516903214,789.6098142812625
